8	самопроверка каскада	Python 3.14.3
0	корпус фикстур	Python 3.14.3
2	мутационная проверка	Python 3.14.3
0	трёхуровневые статусы	Python 3.14.3
0	машинный след анализатора	Python 3.14.3
0	межмодульный граф	Python 3.14.3
0	независимость разметки	Python 3.14.3
0	чувствительность предпосылки независимости	Python 3.14.3
0	счётчики тика	Python 3.14.3
0	содержательность сторожей	Python 3.14.3
36	калибровка на реестре	Python 3.14.3
0	калибровка сит С4 С5 С16	Python 3.14.3
8	самопроверка каскада	Python 3.14.4
0	корпус фикстур	Python 3.14.4
2	мутационная проверка	Python 3.14.4
0	трёхуровневые статусы	Python 3.14.4
0	машинный след анализатора	Python 3.14.4
0	межмодульный граф	Python 3.14.4
0	независимость разметки	Python 3.14.4
0	чувствительность предпосылки независимости	Python 3.14.4
0	счётчики тика	Python 3.14.4
0	содержательность сторожей	Python 3.14.4
36	калибровка на реестре	Python 3.14.4
0	калибровка сит С4 С5 С16	Python 3.14.4
0	корпус фикстур	Python 3.12.13
2	мутационная проверка	Python 3.12.13
0	трёхуровневые статусы	Python 3.12.13
0	машинный след анализатора	Python 3.12.13
0	межмодульный граф	Python 3.12.13
0	независимость разметки	Python 3.12.13
0	чувствительность предпосылки независимости	Python 3.12.13
0	счётчики тика	Python 3.12.13
0	содержательность сторожей	Python 3.12.13
10	гейт baseline	Python 3.14.3
10	целостность заморозки v12	Python 3.14.3
2	coverage manifest	Python 3.14.3
0	чанкинг cover	Python 3.14.3
0	SLA матрицы ОС	Python 3.14.3
1	pre-filter Golden Chain	Python 3.14.3
1	execution-proof на маршруте CLI	Python 3.14.3
0	кэш отпечатков регресса	Python 3.14.3
0	семантика результата регресса	Python 3.14.3
0	чувствительность семантики результата регресса	Python 3.14.3
0	чувствительность неоднозначного ключа реестра	Python 3.14.3
1	однозначность ключа реестра регресса	Python 3.14.3
0	чувствительность границы путей кейсов	Python 3.14.3
0	граница путей кейсов реестра	Python 3.14.3
0	чувствительность ключей skip_reasons	Python 3.14.3
0	контракт ключей skip_reasons	Python 3.14.3
0	tri: самопроверка оболочки	Python 3.14.3
1	журнал вызовов (run_id)	Python 3.14.3
0	парность записей журнала	Python 3.14.3
0	чувствительность парности записей журнала	Python 3.14.3
0	связь начала и итога записи журнала	Python 3.14.3
0	отсутствующий журнал явно not-evaluated	Python 3.14.3
0	граница путей артефактов	Python 3.14.3
